Airport_ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
2351,Tateyama Airport,Tateyama,Japan,\N,RJTE,34.987099,139.828995,10,9,U,Asia/Tokyo,airport,OurAirports
2352,Hachijojima Airport,Hachijojima,Japan,HAC,RJTH,33.11500168,139.7859955,303,9,U,Asia/Tokyo,airport,OurAirports
2353,Iruma Air Base,Iruma,Japan,\N,RJTJ,35.84189987,139.4109955,295,9,U,Asia/Tokyo,airport,OurAirports
2354,Kisarazu Airport,Kisarazu,Japan,\N,RJTK,35.39830017,139.9100037,10,9,U,Asia/Tokyo,airport,OurAirports
2355,Shimofusa Airport,Shimofusa,Japan,\N,RJTL,35.7989006,140.0110016,98,9,U,Asia/Tokyo,airport,OurAirports
2356,Oshima Airport,Oshima,Japan,OIM,RJTO,34.7820015,139.3600006,130,9,U,Asia/Tokyo,airport,OurAirports
2358,Kastner Army Heliport,Zama,Japan,\N,RJTR,35.51380157,139.3939972,360,9,U,Asia/Tokyo,airport,OurAirports
2359,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,35.552299,139.779999,35,9,U,Asia/Tokyo,airport,OurAirports
2360,Yokota Air Base,Yokota,Japan,OKO,RJTY,35.74850082,139.3480072,463,9,U,Asia/Tokyo,airport,OurAirports
2361,Gwangju Airport,Kwangju,South Korea,KWJ,RKJJ,35.123173,126.805444,39,9,U,Asia/Seoul,airport,OurAirports
2364,Jeon Ju Airport (G-703),Jhunju,South Korea,CHN,RKJU,35.87808,127.119112,96,9,U,Asia/Seoul,airport,OurAirports
2365,Yeosu Airport,Yeosu,South Korea,RSU,RKJY,34.84230042,127.6169968,53,9,U,Asia/Seoul,airport,OurAirports
2366,Sokcho Airport,Sokch'o,South Korea,\N,RKND,38.14260101,128.598999,92,9,U,Asia/Seoul,airport,OurAirports
2367,Gangneung Airport (K-18),Kangnung,South Korea,KAG,RKNN,37.753601,128.943915,35,9,U,Asia/Seoul,airport,OurAirports
2370,Jeju International Airport,Cheju,South Korea,CJU,RKPC,33.51129913,126.4929962,118,9,U,Asia/Seoul,airport,OurAirports
2371,Jinhae Airbase/Airport (G-813/K-10),Chinhae,South Korea,CHF,RKPE,35.140248,128.696229,8,9,U,Asia/Seoul,airport,OurAirports
2372,Gimhae International Airport,Busan,South Korea,PUS,RKPK,35.17950058,128.9380035,6,9,U,Asia/Seoul,airport,OurAirports
2374,Ulsan Airport,Ulsan,South Korea,USN,RKPU,35.59349823,129.352005,45,9,U,Asia/Seoul,airport,OurAirports
2375,A 511 Airport,Pyongtaek,South Korea,\N,RKSG,36.96220016,127.0309982,51,9,U,Asia/Seoul,airport,OurAirports
2376,Seoul Air Base (K-16),Seoul East,South Korea,SSN,RKSM,37.444744,127.112718,92,9,U,Asia/Seoul,airport,OurAirports
2377,Osan Air Base,Osan,South Korea,OSN,RKSO,37.090599,127.029999,38,9,U,Asia/Seoul,airport,OurAirports
2378,Gimpo International Airport,Seoul,South Korea,GMP,RKSS,37.5583,126.791,59,9,U,Asia/Seoul,airport,OurAirports
2379,Suwon Airport,Suwon,South Korea,SWU,RKSW,37.23939896,127.0070038,88,9,U,Asia/Seoul,airport,OurAirports
2380,Pohang Airport (G-815/K-3),Pohang,South Korea,KPO,RKTH,35.987955,129.420383,70,9,U,Asia/Seoul,airport,OurAirports
2381,Daegu Airport,Taegu,South Korea,TAE,RKTN,35.896872,128.65531,116,9,U,Asia/Seoul,airport,OurAirports
2383,Yecheon Airbase,Yechon,South Korea,YEC,RKTY,36.630373,128.34971,354,9,U,Asia/Seoul,airport,OurAirports
2384,Naha Airport,Okinawa,Japan,OKA,ROAH,26.19580078,127.6460037,12,9,N,Asia/Tokyo,airport,OurAirports
2385,Ie Shima Auxiliary Air Base,Iejima,Japan,\N,RODE,26.7257576,127.7649002,184,9,U,Asia/Tokyo,airport,OurAirports
2386,Kadena Air Base,Kadena,Japan,DNA,RODN,26.3556,127.767998,143,9,U,Asia/Tokyo,airport,OurAirports
2387,New Ishigaki Airport,Ishigaki,Japan,ISG,ROIG,24.396389,124.245,102,9,U,Asia/Tokyo,airport,OurAirports
2388,Kumejima Airport,Kumejima,Japan,UEO,ROKJ,26.3635006,126.7139969,23,9,U,Asia/Tokyo,airport,OurAirports
2389,Minami-Daito Airport,Minami Daito,Japan,MMD,ROMD,25.8465004,131.2630005,167,9,U,Asia/Tokyo,airport,OurAirports
2390,Miyako Airport,Miyako,Japan,MMY,ROMY,24.78280067,125.2949982,150,9,U,Asia/Tokyo,airport,OurAirports
2391,Kitadaito Airport,Kitadaito,Japan,KTD,RORK,25.94470024,131.3269959,80,9,U,Asia/Tokyo,airport,OurAirports
